model,psi_score,psi_input,auc_1w,rolling_sharpe,active_drawdown
momentum,0.23639848189302842,0.6135467310891151,0.5084052775561292,0.9029999571067405,-0.21700782101957727
gbm,0.12909629443823906,0.6135467310891151,0.5015269842036947,1.3607078246832551,-0.29217167064209837
gbm_expected,0.18340489653138975,0.6135467310891151,0.5054746426881056,-0.003995165557472974,-0.3164785605059317
gbm_weekly,0.1789571334057652,0.6135467310891151,0.5065054083257906,0.825611231858209,-0.2573421040920918
clam_2021,0.08029263606917034,0.6135467310891151,0.507468055054756,1.2470473370872244,-0.298827399420745
clam_weekly_cs_demeaned,0.14799682647341214,0.6135467310891151,0.497854119960744,-0.9114441656215473,-0.7024460935767786
clam_weekly_cs_rank_small,0.1248242876676487,0.6135467310891151,0.5018571848797543,1.4194646381137292,-0.32934143967169427
clam_weekly_cs_rank_small_n94_seed20260922,0.40680059049841133,0.6135467310891151,0.5050439894177113,0.9641161526434855,-0.2683086268891737
clam_weekly_cs_rank_small_n500_seed20260922,0.13319946570506555,0.6135467310891151,0.5084108481887633,0.896612271174136,-0.26995677549582053
clam_weekly_cs_rank_small_n3000_seed20260922,0.09238122024805454,0.6135467310891151,0.5086132231178511,-1.7389682692613497,-0.6433780838477388
